PostalCode,Neighborhood,Latitude,Longitude
600018,Teynampet,13.0367,80.2517
600102,Anna Nagar East,13.0847,80.2252
600040,Anna Nagar Tower,13.0849,80.2102
600016,Alandur,13.0021,80.2005
600106,Arumbakkam,13.0719,80.2118
600083,Ashok Nagar,13.036,80.204
600027,Chennai Airport,12.977,80.1787
600008,Egmore,13.0744,80.2565
600032,Guindy,13.0177,80.2057
600002,LIC,13.0689,80.2671
600104,High Court,13.0863,80.2872
600010,Kilpauk,13.0857,80.2452
600107,Koyambedu,13.0739,80.1907
600015,Saidapet,13.0213,80.2231
600035,Nandanam,13.0311,80.2398
600061,Nanganallur,12.9782,80.1865
600084,Nehru Park,13.0837,80.2546
600030,Pachaiyappas College,13.0787,80.2251
600003,Central Station,13.0816,80.2752
600050,Thirumangalam,13.0911,80.1832
600006,Thousand Lights,13.0504,80.2486
600026,Vadapalani,13.0509,80.2121
600021,Washermanpet,13.1154,80.2831
