PostalCode,Neighborhood,Commuters,Latitude,Longitude
600051,Madhavaram,7696,13.1643,80.2555
600011,Sembiyan,7674,13.1123,80.2379
600012,Perambur,7617,13.0986,80.2596
600023,Ayanavaram ,7229,13.0986,80.234
600007,Doveton,2330,13.0832,80.2614
600084,Purasaiwakkam,3651,13.0837,80.2546
600010,Kilpauk,11696,13.0857,80.2452
600031,Chetpet,3309,13.0732,80.2408
600034,Nungambakkam ,3700,13.0592,80.24
600006,Gemini ,2450,13.0504,80.2486
600014,Royapettah,1751,13.0535,80.2695
600004,Mandaiveli,20212,13.0369,80.2676
600028,Greenways Road,6145,13.0223,80.2591
600020,Adyar,21952,13.0038,80.2569
600041,Thiruvanmiyur,4203,12.9611,80.2592
600113,Taramani Link Road ,1719,12.9863,80.2457
600096,Perungudi ,6093,12.9598,80.2404
600097,Thoraipakkam,20119,12.9384,80.2396
600119,Sholinganallur ,15617,12.8765,80.2269
600130,Navalur ,1738,12.863,80.1916
603103,Siruseri ,2887,12.7949,80.1987
600018,Alwarpet ,3181,13.0367,80.2517
600035,Nandanam ,8332,13.0311,80.2398
600017,T. Nagar,13502,13.0413,80.2339
600024,Kodambakkam,8981,13.0532,80.2231
600026,Vadapalani ,6357,13.0509,80.2121
600093,Saligramam ,4373,13.0525,80.1983
600092,Avichi School ,2272,13.0621,80.1924
600087,Valasaravakkam ,12776,13.0373,80.1777
600116,Porur,32796,13.0187,80.1499
600056,Iyyapanthangal,21945,13.045,80.1157
600123,Poonamallee,12169,13.0551,80.0842
600060,MMBT ,11174,13.1556,80.2247
600099,Kolathur,15717,13.1342,80.2058
600049,Villivakkam,17349,13.1052,80.2047
600101,Anna Nagar Depot ,7733,13.0921,80.1945
600050,Thirumangalam,4880,13.0911,80.1832
600040,Anna Nagar Tower,7551,13.0849,80.2102
600107,CMBT,15822,13.0739,80.1907
600092,Elango Nagar,6261,13.0621,80.1924
600089,Manapakkam,10346,13.0181,80.187
600016,Alandur ,10525,13.0021,80.2005
600088,Adambakkam ,2118,12.9883,80.2035
600091,Madipakkam ,4868,12.9617,80.1994
600117,Kilkattalai ,3622,12.937,80.174
600129,Kovilambakkam,6085,12.9447,80.1939
600100,Medavakkam,9243,12.9171,80.1941
