PostalCode,Neighborhood,Latitude,Longitude
600102,Anna Nagar East,13.092,80.2236
600040,Anna Nagar Tower,13.0863,80.2138
600016,Alandur,12.9975,80.2006
600106,Arumbakkam,13.0724,80.2102
600083,Ashok Nagar,13.0373,80.2123
600027,Chennai Airport,12.9941,80.1709
600008,Egmore,13.0732,80.2609
600032,Guindy,13.0067,80.2206
600002,LIC,13.0642,80.266
600104,High Court,13.0867,80.2877
600010,Kilpauk,13.0828,80.2417
600107,CMBT,13.0675,80.2056
600015,Saidapet,13.0213,80.2231
600035,Nandanam,13.03,80.2421
600061,Nanganallur,12.9807,80.1882
600030,Pachaiyappas College,13.0741,80.2332
600003,Central Station,13.0825,80.2755
600050,Thirumangalam,13.0835,80.1945
600006,Thousand Lights,13.0617,80.2544
600026,Vadapalani,13.05,80.2121
600021,Washermanpet,13.1148,80.2872
600051,Madhavaram,13.1488,80.2306
600011,Sembiyan,13.1154,80.2367
600012,Perambur,13.121,80.2326
600023,Ayanavaram ,13.0986,80.2337
600007,Doveton,13.0872,80.2575
600084,Purasaiwakkam,13.0902,80.2543
600031,Chetpet,13.0714,80.2417
600034,Nungambakkam ,13.0569,80.2425
600014,Royapettah,13.054,80.2641
600004,Mandaveli,13.0279,80.2605
600028,Greenways Road,13.0208,80.252
600020,Adyar,13.0012,80.2565
600041,Thiruvanmiyur,12.983,80.2594
600113,Taramani Link Road ,12.9863,80.2432
600096,Perungudi ,12.9654,80.2461
600097,Thoraipakkam,12.9416,80.2362
600119,Sholinganallur ,12.901,80.2279
600130,Navalur ,12.8459,80.2265
603103,Siruseri ,12.8352,80.2011
600018,Alwarpet ,13.0335,80.2531
600017,T. Nagar,13.0418,80.2341
600024,Kodambakkam,13.0521,80.2255
600093,Saligramam ,13.0545,80.2011
600087,Valasaravakkam ,13.0403,80.1723
600116,Porur,13.0382,80.1565
600056,Iyyapanthangal,13.0381,80.1354
600123,Poonamallee,13.0473,80.0945
600060,MMBT ,13.1456,80.2215
600099,Kolathur,13.124,80.2121
600049,Villivakkam,13.1086,80.2061
600101,Anna Nagar Depot ,13.0952,80.1981
600092,Elango Nagar,13.0537,80.1906
600089,Manapakkam,13.0213,80.1832
600088,Adambakkam ,12.988,80.2047
600091,Madipakkam ,12.9647,80.1961
600117,Kilkattalai ,12.9556,80.1869
600129,Kovilambakkam,12.9409,80.1851
600100,Medavakkam,12.9171,80.1923
