PostalCode,Neighborhood,Latitude,Longitude,Boarding,Alighting,TotalCommuters
600040,Anna Nagar Tower,13.0863,80.2138,1559,1206,2765
600016,Alandur,12.9975,80.2006,1085,3742,4827
600010,Kilpauk,13.0828,80.2417,3823,3338,7161
600107,CMBT,13.0675,80.2056,5940,6252,12192
600035,Nandanam,13.03,80.2421,4280,4052,8332
600050,Thirumangalam,13.0835,80.1945,1847,3033,4880
600026,Vadapalani,13.05,80.2121,2304,1964,4268
600051,Madhavaram,13.1488,80.2306,2184,1023,3207
600011,Sembiyan,13.1154,80.2367,2881,1234,4115
600012,Perambur,13.121,80.2326,2404,1155,3559
600023,Ayanavaram ,13.0986,80.2337,2899,4330,7229
600007,Doveton,13.0872,80.2575,973,1357,2330
600084,Purasaiwakkam,13.0902,80.2543,1842,1809,3651
600031,Chetpet,13.0714,80.2417,1439,1870,3309
600004,Mandaveli,13.0279,80.2605,5401,3650,9051
600028,Greenways Road,13.0208,80.252,2901,2578,5479
600020,Adyar,13.0012,80.2565,4446,5257,9703
600041,Thiruvanmiyur,12.983,80.2594,1637,2566,4203
600113,Taramani Link Road ,12.9863,80.2432,637,1082,1719
600096,Perungudi ,12.9654,80.2461,1869,1634,3503
600097,Thoraipakkam,12.9416,80.2362,2206,2291,4497
600119,Sholinganallur ,12.901,80.2279,877,1681,2558
600130,Navalur ,12.8459,80.2265,501,473,974
603103,Siruseri ,12.8352,80.2011,305,363,668
600018,Alwarpet ,13.0335,80.2531,1043,683,1726
600017,T. Nagar,13.0418,80.2341,4821,7178,11999
600024,Kodambakkam,13.0521,80.2255,3183,3163,6346
600093,Saligramam ,13.0545,80.2011,2471,1902,4373
600087,Valasaravakkam ,13.0403,80.1723,110,298,408
600116,Porur,13.0382,80.1565,2934,5836,8770
600056,Iyyapanthangal,13.0381,80.1354,1145,893,2038
600123,Poonamallee,13.0473,80.0945,2066,1909,3975
600060,MMBT ,13.1456,80.2215,1201,840,2041
600099,Kolathur,13.124,80.2121,1750,872,2622
600049,Villivakkam,13.1086,80.2061,3070,2779,5849
600101,Anna Nagar Depot ,13.0952,80.1981,3240,4493,7733
600092,Elango Nagar,13.0537,80.1906,3357,2904,6261
600089,Manapakkam,13.0213,80.1832,1350,1067,2417
600088,Adambakkam ,12.988,80.2047,1172,946,2118
600091,Madipakkam ,12.9647,80.1961,1054,508,1562
600117,Kilkattalai ,12.9556,80.1869,365,3257,3622
600129,Kovilambakkam,12.9409,80.1851,1533,975,2508
600100,Medavakkam,12.9171,80.1923,1152,812,1964
